definedIn,groupName,groupId,groupLen,name,offset,type,validParse,sourceLine
Created4V3,AirCraftCondition,1001,48,gyro,24,short,True,gyro = _payload.getShort(24);
Created4V3,AirCraftCondition,1001,48,land_dur_press,26,float,True,land_dur_press = _payload.getFloat(26);
Created4V3,AirCraftCondition,1001,48,land_dur_sonic,30,float,True,land_dur_sonic = _payload.getFloat(30);
Created4V3,AirCraftCondition,1001,48,thrust_body,34,short,True,thrust_body = _payload.getShort(34);
Created4V3,AirCraftCondition,1001,48,thrust_gnd,36,short,True,thrust_gnd = _payload.getShort(36);
Created4V3,AirCraftCondition,1001,48,thrust_gnd_compen,38,short,True,thrust_gnd_compen = _payload.getShort(38);
Created4V3,AirCraftCondition,1001,48,safe_tilt_raw,40,short,True,safe_tilt_raw = _payload.getShort(40);
Created4V3,AirCraftCondition,1001,48,safe_tilt,42,short,True,safe_tilt = _payload.getShort(42);
Created4V3,AirCraftCondition,1001,48,sat_timer,44,float,True,sat_timer = _payload.getFloat(44);
Created4V3,AirCraftCondition,1001,54,intFlightState,0,byte,True,intFlightState = _payload.getUnsignedByte(0);
Created4V3,AirCraftCondition,1001,54,flightState,1,byte,True,flightState = _payload.getUnsignedByte(1);
Created4V3,AirCraftCondition,1001,54,lastFlightState,2,byte,True,lastFlightState = _payload.getUnsignedByte(2);
Created4V3,AirCraftCondition,1001,54,nearGndState,3,byte,True,nearGndState = _payload.getUnsignedByte(3);
Created4V3,AirCraftCondition,1001,54,launch_state,4,byte,True,launch_state = _payload.getUnsignedByte(4);
Created4V3,AirCraftCondition,1001,54,launch_acc_dur,5,float,True,launch_acc_dur = _payload.getFloat(5);
Created4V3,AirCraftCondition,1001,54,launch_delta_v,9,float,True,launch_delta_v = _payload.getFloat(9);
Created4V3,AirCraftCondition,1001,54,landState,13,byte,True,landState = _payload.getUnsignedByte(13);
Created4V3,AirCraftCondition,1001,54,thrust,14,float,True,thrust = _payload.getFloat(14);
Created4V3,AirCraftCondition,1001,54,gyro,18,float,True,gyro = _payload.getFloat(18);
Created4V3,AirCraftCondition,1001,54,gyro_acc,22,float,True,gyro_acc = _payload.getFloat(22);
Created4V3,AirCraftCondition,1001,54,land_dur,26,float,True,land_dur = _payload.getFloat(26);
Created4V3,AirCraftCondition,1001,54,thrust_proj_gnd,30,float,True,thrust_proj_gnd = _payload.getFloat(30);
Created4V3,AirCraftCondition,1001,54,thrust_proj_gnd_compen,34,float,True,thrust_proj_gnd_compen = _payload.getFloat(34);
Created4V3,AirCraftCondition,1001,54,thrust_compensator,38,float,True,thrust_compensator = _payload.getFloat(38);
Created4V3,AirCraftCondition,1001,54,hover_thrust,42,float,True,hover_thrust = _payload.getFloat(42);
Created4V3,AirCraftCondition,1001,54,cos_safe_tilt,46,float,True,cos_safe_tilt = _payload.getFloat(46);
Created4V3,AirCraftCondition,1001,54,safe_tilt,50,float,True,safe_tilt = _payload.getFloat(50);
Created4V3,AirCraftCondition,1001,8,intFlightState,0,byte,True,intFlightState = _payload.getUnsignedByte(0);
Created4V3,AirCraftCondition,1001,8,flightState,1,byte,True,flightState = _payload.getUnsignedByte(1);
Created4V3,AirCraftCondition,1001,8,lastFlightState,2,byte,True,lastFlightState = _payload.getUnsignedByte(2);
Created4V3,AirCraftCondition,1001,8,nearGndState,3,byte,True,nearGndState = _payload.getUnsignedByte(3);
Created4V3,AirCraftCondition,1001,8,UP_state,4,byte,True,UP_state = _payload.getUnsignedByte(4);
Created4V3,AirCraftCondition,1001,8,landState,5,byte,True,landState = _payload.getUnsignedByte(5);
Created4V3,AirCraftCondition,1001,8,safe_fltr,6,short,True,safe_fltr = _payload.getShort(6);
Created4V3,BattInfo,1710,38,Vol,0,float,True,Vol = _payload.getFloat(0);
Created4V3,BattInfo,1710,38,Current,4,float,True,Current = (float) (((float) (_payload.getFloat(4))) / 1000.0);
Created4V3,BattInfo,1710,38,R_time,8,UInt16,True,R_time = _payload.getUnsignedShort(8);
Created4V3,BattInfo,1710,38,CellVol,10,UInt16,True,CellVol = (float) (((float) (_payload.getUnsignedShort(10)))
Created4V3,BattInfo,1710,38,LowVolThreshold,12,float,True,LowVolThreshold = _payload.getFloat(12);
Created4V3,BattInfo,1710,38,BatVol,16,int,True,BatVol = (float) (((float) (_payload.getInt(16))) / 1000.0);
Created4V3,BattInfo,1710,38,BatCurrent,20,int,True,BatCurrent = -(float) (((float) (_payload.getInt(20))) / 1000.0);
Created4V3,BattInfo,1710,38,BatCap,24,UInt16,True,BatCap = _payload.getUnsignedShort(24);
Created4V3,BattInfo,1710,38,CapPercnt,26,byte,True,CapPercnt = _payload.getUnsignedByte(26);
Created4V3,BattInfo,1710,38,BatTemp,27,short,True,BatTemp = (float) (((float) (_payload.getShort(27))) / 10.0);
Created4V3,BattInfo,1710,38,BatAuth,29,byte,True,BatAuth = _payload.getUnsignedByte(29);
Created4V3,BattInfo,1710,38,BatDataCnt,30,UInt32,True,BatDataCnt = _payload.getUnsignedInt(30);
Created4V3,BattInfo,1710,38,FullCap,34,UInt32,True,FullCap = _payload.getUnsignedInt(34);
Created4V3,BattInfo,1710,44,ad_v,0,UInt16,True,ad_v = (float) (((float) (_payload.getUnsignedShort(0))) / 1000.0);
Created4V3,BattInfo,1710,44,r_time,2,UInt16,True,r_time = _payload.getUnsignedShort(2);
Created4V3,BattInfo,1710,44,ave_I,4,float,True,ave_I = (float) (((float) (_payload.getFloat(4))) / 1000.0);
Created4V3,BattInfo,1710,44,vol_t,8,float,True,vol_t = _payload.getFloat(8);
Created4V3,BattInfo,1710,44,pack_ve,12,int,True,pack_ve = (float) (((float) (_payload.getInt(12))) / 1000.0);
Created4V3,BattInfo,1710,44,I,16,int,True,I = -(float) (((float) (_payload.getInt(16))) / 1000.0);
Created4V3,BattInfo,1710,44,r_cap,20,UInt16,True,r_cap = _payload.getUnsignedShort(20);
Created4V3,BattInfo,1710,44,cap_per,22,byte,True,cap_per = _payload.getUnsignedByte(22);
Created4V3,BattInfo,1710,44,temp,23,short,True,temp = (float) (((float) (_payload.getShort(23))) / 10.0);
Created4V3,BattInfo,1710,44,right,25,byte,True,right = _payload.getUnsignedByte(25);
Created4V3,BattInfo,1710,44,l_cell,26,UInt16,True,l_cell = _payload.getUnsignedShort(26);
Created4V3,BattInfo,1710,44,dyna_cnt,28,UInt32,True,dyna_cnt = _payload.getUnsignedInt(28);
Created4V3,BattInfo,1710,44,FullCap,32,UInt32,True,FullCap = _payload.getUnsignedInt(32);
Created4V3,BattInfo,1710,44,out_ctl,36,float,True,out_ctl = _payload.getFloat(36);
Created4V3,BattInfo,1710,44,out_ctl_f,40,float,True,out_ctl_f = _payload.getFloat(40);
Created4V3,Controller,1000,36,ctrl_tick,0,UInt32,True,ctrl_tick = _payload.getUnsignedInt(0);
Created4V3,Controller,1000,36,ctrl_pitch,4,short,True,ctrl_pitch = _payload.getShort(4);
Created4V3,Controller,1000,36,ctrl_roll,6,short,True,ctrl_roll = _payload.getShort(6);
Created4V3,Controller,1000,36,ctrl_yaw,8,short,True,ctrl_yaw = _payload.getShort(8);
Created4V3,Controller,1000,36,ctrl_thr,10,short,True,ctrl_thr = _payload.getShort(10);
Created4V3,Controller,1000,36,ctrl_mode_cur,12,byte,True,ctrl_mode_cur = _payload.getUnsignedByte(12);
Created4V3,Controller,1000,36,cur_mode_switch,13,byte,True,cur_mode_switch = _payload.getUnsignedByte(13);
Created4V3,Controller,1000,36,motor_state_cur,14,byte,True,motor_state_cur = _payload.getUnsignedByte(14);
Created4V3,Controller,1000,36,motor_average_speed,15,short,True,motor_average_speed = _payload.getShort(15);
Created4V3,Controller,1000,36,sig_level,17,byte,True,sig_level = _payload.getUnsignedByte(17);
Created4V3,Controller,1000,36,ctrl_level,18,byte,True,ctrl_level = _payload.getUnsignedByte(18);
Created4V3,Controller,1000,36,in_sim_model,19,byte,True,in_sim_model = _payload.getUnsignedByte(19);
Created4V3,Controller,1000,36,real_max_height,20,UInt16,True,real_max_height = _payload.getUnsignedShort(20);
Created4V3,Controller,1000,36,real_max_radius,22,UInt16,True,real_max_radius = _payload.getUnsignedShort(22);
Created4V3,Controller,1000,36,distance_to_home_x,24,float,True,distance_to_home_x = _payload.getFloat(24);
Created4V3,Controller,1000,36,distance_to_home_y,28,float,True,distance_to_home_y = _payload.getFloat(28);
Created4V3,Controller,1000,36,action_reqest_id,32,byte,True,action_reqest_id = _payload.getUnsignedByte(32);
Created4V3,Controller,1000,36,action_action_id,33,byte,True,action_action_id = _payload.getUnsignedByte(33);
Created4V3,Controller,1000,36,cur_cmd_mode,34,byte,True,cur_cmd_mode = _payload.getUnsignedByte(34);
Created4V3,Controller,1000,36,cur_cmd_mode_req_id,35,byte,True,cur_cmd_mode_req_id = _payload.getUnsignedByte(35);
Created4V3,Controller,1000,37,ctrl_pitch,4,short,True,ctrl_pitch = (short) payloadBB.getShort(4);
Created4V3,Controller,1000,37,ctrl_roll,6,short,True,ctrl_roll = (short) payloadBB.getShort(6);
Created4V3,Controller,1000,37,ctrl_yaw,8,short,True,ctrl_yaw = (short) payloadBB.getShort(8);
Created4V3,Controller,1000,37,ctrl_thr,10,short,True,ctrl_thr = (short) payloadBB.getShort(10);
Created4V3,Controller,1000,37,sig_level,15,byte,True,sig_level = _payload.getUnsignedByte(15);
Created4V3,Controller,1000,37,ctrl_level,16,byte,True,ctrl_level = _payload.getUnsignedByte(16);
Created4V3,Controller,1000,39,ctrl_tick,0,UInt32,True,ctrl_tick = _payload.getUnsignedInt(0);
Created4V3,Controller,1000,39,ctrl_pitch,4,short,True,ctrl_pitch = _payload.getShort(4);
Created4V3,Controller,1000,39,ctrl_roll,6,short,True,ctrl_roll = _payload.getShort(6);
Created4V3,Controller,1000,39,ctrl_yaw,8,short,True,ctrl_yaw = _payload.getShort(8);
Created4V3,Controller,1000,39,ctrl_thr,10,short,True,ctrl_thr = _payload.getShort(10);
Created4V3,Controller,1000,39,ctrl_mode,12,byte,True,ctrl_mode = _payload.getUnsignedByte(12);
Created4V3,Controller,1000,39,mode_switch,13,byte,True,mode_switch = _payload.getUnsignedByte(13);
Created4V3,Controller,1000,39,motor_state,14,byte,True,motor_state = _payload.getUnsignedByte(14);
Created4V3,Controller,1000,39,sig_level,15,byte,True,sig_level = _payload.getUnsignedByte(15);
Created4V3,Controller,1000,39,ctrl_level,16,byte,True,ctrl_level = _payload.getUnsignedByte(16);
Created4V3,Controller,1000,39,sim_model,17,byte,True,sim_model = _payload.getUnsignedByte(17);
Created4V3,Controller,1000,39,max_height,18,UInt16,True,max_height = _payload.getUnsignedShort(18);
Created4V3,Controller,1000,39,max_radius,20,UInt16,True,max_radius = _payload.getUnsignedShort(20);
Created4V3,Controller,1000,39,D2H_x,22,float,True,D2H_x = _payload.getFloat(22);
Created4V3,Controller,1000,39,D2H_y,26,float,True,D2H_y = _payload.getFloat(26);
Created4V3,Controller,1000,39,act_req_id,30,byte,True,act_req_id = _payload.getUnsignedByte(30);
Created4V3,Controller,1000,39,act_act_id,31,byte,True,act_act_id = _payload.getUnsignedByte(31);
Created4V3,Controller,1000,39,cmd_mod,32,byte,True,cmd_mod = _payload.getUnsignedByte(32);
Created4V3,Controller,1000,39,mod_req_id,33,byte,True,mod_req_id = _payload.getUnsignedByte(33);
Created4V3,Controller,1000,39,fw_flag,34,byte,True,fw_flag = _payload.getUnsignedByte(34);
Created4V3,Controller,1000,39,mot_sta,35,byte,True,mot_sta = _payload.getUnsignedByte(35);
Created4V3,Controller,1000,39,OH_take,36,byte,True,OH_take = _payload.getUnsignedByte(36);
Created4V3,Controller,1000,39,rc_cnt,37,byte,True,rc_cnt = _payload.getUnsignedByte(37);
Created4V3,Controller,1000,39,sup_rc,38,byte,True,sup_rc = _payload.getUnsignedByte(38);
Created4V3,Controller,1000,40,ctrl_tick,0,UInt32,True,ctrl_tick = _payload.getUnsignedInt(0);
Created4V3,Controller,1000,40,COMMAND_AILERON,4,short,True,COMMAND_AILERON = _payload.getShort(4);
Created4V3,Controller,1000,40,COMMAND_ELEVATOR,6,short,True,COMMAND_ELEVATOR = _payload.getShort(6);
Created4V3,Controller,1000,40,COMMAND_THROTTLE,8,short,True,COMMAND_THROTTLE = _payload.getShort(8);
Created4V3,Controller,1000,40,COMMAND_RUDDER,10,short,True,COMMAND_RUDDER = _payload.getShort(10);
Created4V3,Controller,1000,40,COMMAND_MODE,12,short,True,COMMAND_MODE = _payload.getShort(12);
Created4V3,Controller,1000,40,COMMAND_IOC,14,short,True,COMMAND_IOC = _payload.getShort(14);
Created4V3,Controller,1000,40,COMMAND_GO_HOME,16,short,True,COMMAND_GO_HOME = _payload.getShort(16);
Created4V3,Controller,1000,40,COMMAND_D4,18,short,True,COMMAND_D4 = _payload.getShort(18);
Created4V3,Controller,1000,40,ctrl_pitch,20,short,True,ctrl_pitch = _payload.getShort(20);
Created4V3,Controller,1000,40,ctrl_roll,22,short,True,ctrl_roll = _payload.getShort(22);
Created4V3,Controller,1000,40,ctrl_yaw,24,short,True,ctrl_yaw = _payload.getShort(24);
Created4V3,Controller,1000,40,ctrl_thr,26,short,True,ctrl_thr = _payload.getShort(26);
Created4V3,Controller,1000,40,ctrl_mode_cur,28,byte,True,ctrl_mode_cur = _payload.getUnsignedByte(28);
Created4V3,Controller,1000,40,ctrl_real_mode,29,byte,True,ctrl_real_mode = _payload.getUnsignedByte(29);
Created4V3,Controller,1000,40,ioc_control_command_mode,30,byte,True,ioc_control_command_mode = _payload.getUnsignedByte(30);
Created4V3,Controller,1000,40,cur_mode_switch,31,byte,True,cur_mode_switch = _payload.getUnsignedByte(31);
Created4V3,Controller,1000,40,motor_state_cur,32,byte,True,motor_state_cur = _payload.getUnsignedByte(32);
Created4V3,Controller,1000,40,bat_ad_voltage,33,UInt16,True,bat_ad_voltage = _payload.getUnsignedShort(33);
Created4V3,Controller,1000,40,real_ctl_out_per,35,byte,True,real_ctl_out_per = _payload.getUnsignedByte(35);
Created4V3,Controller,1000,40,us_fail,36,byte,True,us_fail = _payload.getUnsignedByte(36);
Created4V3,Controller,1000,40,sig_level,37,byte,True,sig_level = _payload.getUnsignedByte(37);
Created4V3,Controller,1000,40,ctrl_level,38,byte,True,ctrl_level = _payload.getUnsignedByte(38);
Created4V3,Controller,1000,40,in_sim_model,39,byte,True,in_sim_model = _payload.getUnsignedByte(39);
Created4V3,Controller,1000,41,ctrl_tick,0,UInt32,True,ctrl_tick = _payload.getUnsignedInt(0);
Created4V3,Controller,1000,41,COMMAND_AILERON,4,short,True,COMMAND_AILERON = _payload.getShort(4);
Created4V3,Controller,1000,41,COMMAND_ELEVATOR,6,short,True,COMMAND_ELEVATOR = _payload.getShort(6);
Created4V3,Controller,1000,41,COMMAND_THROTTLE,8,short,True,COMMAND_THROTTLE = _payload.getShort(8);
Created4V3,Controller,1000,41,COMMAND_RUDDER,10,short,True,COMMAND_RUDDER = _payload.getShort(10);
Created4V3,Controller,1000,41,COMMAND_MODE,12,short,True,COMMAND_MODE = _payload.getShort(12);
Created4V3,Controller,1000,41,COMMAND_IOC,14,short,True,COMMAND_IOC = _payload.getShort(14);
Created4V3,Controller,1000,41,COMMAND_GO_HOME,16,short,True,COMMAND_GO_HOME = _payload.getShort(16);
Created4V3,Controller,1000,41,COMMAND_D4,18,short,True,COMMAND_D4 = _payload.getShort(18);
Created4V3,Controller,1000,41,ctrl_pitch,20,short,True,ctrl_pitch = _payload.getShort(20);
Created4V3,Controller,1000,41,ctrl_roll,22,short,True,ctrl_roll = _payload.getShort(22);
Created4V3,Controller,1000,41,ctrl_yaw,24,short,True,ctrl_yaw = _payload.getShort(24);
Created4V3,Controller,1000,41,ctrl_thr,26,short,True,ctrl_thr = _payload.getShort(26);
Created4V3,Controller,1000,41,ctrl_mode_cur,28,byte,True,ctrl_mode_cur = _payload.getUnsignedByte(28);
Created4V3,Controller,1000,41,ctrl_real_mode,29,byte,True,ctrl_real_mode = _payload.getUnsignedByte(29);
Created4V3,Controller,1000,41,ioc_control_command_mode,30,byte,True,ioc_control_command_mode = _payload.getUnsignedByte(30);
Created4V3,Controller,1000,41,cur_mode_switch,31,byte,True,cur_mode_switch = _payload.getUnsignedByte(31);
Created4V3,Controller,1000,41,motor_state_cur,32,byte,True,motor_state_cur = _payload.getUnsignedByte(32);
Created4V3,Controller,1000,41,bat_ad_voltage,33,UInt16,True,bat_ad_voltage = _payload.getUnsignedShort(33);
Created4V3,Controller,1000,41,real_ctl_out_per,35,byte,True,real_ctl_out_per = _payload.getUnsignedByte(35);
Created4V3,Controller,1000,41,us_fail,36,byte,True,us_fail = _payload.getUnsignedByte(36);
Created4V3,Controller,1000,41,sig_level,37,byte,True,sig_level = _payload.getUnsignedByte(37);
Created4V3,Controller,1000,41,ctrl_level,38,byte,True,ctrl_level = _payload.getUnsignedByte(38);
Created4V3,Controller,1000,41,in_sim_model,39,byte,True,in_sim_model = _payload.getUnsignedByte(39);
Created4V3,Controller,1000,41,app_connect_lost,40,byte,True,app_connect_lost = _payload.getUnsignedByte(40);
Created4V3,Controller,1000,44,ctrl_tick,0,UInt32,True,ctrl_tick = _payload.getUnsignedInt(0);
